Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date
LC881576,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61689/2022,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-01-26,2025-07-24
LC881577,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61709/2022,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-02,2025-07-24
LC881578,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61715/2022,11826,partial,"Japan:Miyagi,Kami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-02,2025-07-24
LC881579,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61717/2022,11826,partial,"Japan:Miyagi,Kami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-02,2025-07-24
LC881580,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61722/2022,11826,partial,"Japan:Miyagi,Kami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-02,2025-07-24
LC881581,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61741/2022,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-16,2025-07-24
LC881582,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG61795/2022,11826,partial,"Japan:Miyagi,Kurihara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-03-23,2025-07-24
LC881583,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107410/2022,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-13,2025-07-24
LC881584,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107411/2022,11826,partial,"Japan:Miyagi,Marumori",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-13,2025-07-24
LC881585,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107428/2022,11826,partial,"Japan:Miyagi,Kurihara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-08,2025-07-24
LC881586,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107429/2022,11826,partial,"Japan:Miyagi,Shikama",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-03,2025-07-24
LC881587,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107433/2022,11826,partial,"Japan:Miyagi,Kurihara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-15,2025-07-24
LC881588,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107444/2022,11826,partial,"Japan:Miyagi,Ohira",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-07-26,2025-07-24
LC881589,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_MG107465/2022,11826,partial,"Japan:Miyagi,Shibata",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-08-24,2025-07-24
LC881590,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KO120680/2022,11826,partial,"Japan:Kochi,Konan",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-12-05,2025-07-24
LC881591,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KO124607/2023,11826,partial,"Japan:Kochi,Aki",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-17,2025-07-24
LC881592,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KO125789/2023,11826,partial,"Japan:Kochi,Kami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-25,2025-07-24
LC881593,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KO126400/2023,11826,partial,"Japan:Kochi,Kami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-02-01,2025-07-24
LC881594,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KY78445/2021,11826,partial,"Japan:Kyoto,Fukuchiyama",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-06,2025-07-24
LC881595,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KY78464/2022,11826,partial,"Japan:Kyoto,Kyotamba",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-03-15,2025-07-24
LC881596,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KY91264/2022,11826,partial,"Japan:Kyoto,Kyotango",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-06-07,2025-07-24
LC881597,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM116517/2022,11826,partial,"Japan:Shimane,Yoshika",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-08-29,2025-07-24
LC881598,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM116524/2022,11826,partial,"Japan:Shimane,Tsuwano",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-09-02,2025-07-24
LC881599,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM116556/2022,11826,partial,"Japan:Shimane,Tsuwano",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-09-15,2025-07-24
LC881600,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM116626/2022,11826,partial,"Japan:Shimane,Masuda",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-07,2025-07-24
LC881601,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM116648/2022,11826,partial,"Japan:Shimane,Masuda",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-29,2025-07-24
LC881602,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SM126333/2023,11826,partial,"Japan:Shimane,Masuda",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-31,2025-07-24
LC881603,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HG108693/2022,11826,partial,"Japan:Hyogo,Taka",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-25,2025-07-24
LC881604,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HG108719/2022,11826,partial,"Japan:Hyogo,Shiso",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-05-27,2025-07-24
LC881605,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HG108866/2022,11826,partial,"Japan:Hyogo,Fukusaki",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-08-22,2025-07-24
LC881606,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HG114697/2022,11826,partial,"Japan:Hyogo,Himeji",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-09,2025-07-24
LC881607,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KN91185/2022,11826,partial,"Japan:Kanagawa,Oiso",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-24,2025-07-24
LC881608,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KN116305/2023,11826,partial,"Japan:Kanagawa,Minamiashigara",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-05,2025-07-24
LC881609,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ71986/2021,11826,partial,"Japan:Shizuoka,Hamamasu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-12-17,2025-07-24
LC881610,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ72597/2022,11826,partial,"Japan:Shizuoka,Izunokuni",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-19,2025-07-24
LC881611,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ72711/2022,11826,partial,"Japan:Shizuoka,Kakegawa",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-03-01,2025-07-24
LC881612,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ120738/2022,11826,partial,"Japan:Shizuoka,Izunokuni",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-04-11,2025-07-24
LC881613,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ120837/2022,11826,partial,"Japan:Shizuoka,Kannami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-05-02,2025-07-24
LC881614,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ121510/2022,11826,partial,"Japan:Shizuoka,Kannami",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-08-06,2025-07-24
LC881615,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ121730/2022,11826,partial,"Japan:Shizuoka,Izu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-08-23,2025-07-24
LC881616,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ123387/2022,11826,partial,"Japan:Shizuoka,Kakegawa",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-12-16,2025-07-24
LC881617,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ123605/2023,11826,partial,"Japan:Shizuoka,Numazu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-04,2025-07-24
LC881618,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ125453/2023,11826,partial,"Japan:Shizuoka,Izu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-16,2025-07-24
LC881619,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SZ125503/2023,11826,partial,"Japan:Shizuoka,Kakegawa",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-22,2025-07-24
LC881620,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_YG119992/2022,11826,partial,"Japan:Yamagata,Higashine",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-12-26,2025-07-24
LC881621,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_YG125361/2023,11826,partial,"Japan:Yamagata,Tsuruoka",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-18,2025-07-24
LC881622,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_YG126259/2023,11826,partial,"Japan:Yamagata,Oguni",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-25,2025-07-24
LC881623,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME74923/2021,11826,partial,"Japan:Mie,Watarai",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-08,2025-07-24
LC881624,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME75098/2021,11826,partial,"Japan:Mie,Ise",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-21,2025-07-24
LC881625,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME75229/2021,11826,partial,"Japan:Mie,Ise",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-29,2025-07-24
LC881626,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME75418/2021,11826,partial,"Japan:Mie,Watarai",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-12,2025-07-24
LC881627,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME75591/2021,11826,partial,"Japan:Mie,Ise",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-26,2025-07-24
LC881628,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME76038/2021,11826,partial,"Japan:Mie,Kiho",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-13,2025-07-24
LC881629,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME76041/2021,11826,partial,"Japan:Mie,Kiho",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-13,2025-07-24
LC881630,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME76451/2021,11826,partial,"Japan:Mie,Matsuzaka",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-11-04,2025-07-24
LC881631,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME77175/2022,11826,partial,"Japan:Mie,Kiho",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-01-31,2025-07-24
LC881632,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME77318/2022,11826,partial,"Japan:Mie,Kiho",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-02-14,2025-07-24
LC881633,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME104395/2022,11826,partial,"Japan:Mie,Shima",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-07-14,2025-07-24
LC881634,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME105899/2022,11826,partial,"Japan:Mie,Kihoku",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-17,2025-07-24
LC881635,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME105984/2022,11826,partial,"Japan:Mie,Komono",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-17,2025-07-24
LC881636,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME106060/2022,11826,partial,"Japan:Mie,Iga",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-20,2025-07-24
LC881637,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME106138/2022,11826,partial,"Japan:Mie,Nabari",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-24,2025-07-24
LC881638,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME107154/2022,11826,partial,"Japan:Mie,Minamiise",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-12-08,2025-07-24
LC881639,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_ME107279/2022,11826,partial,"Japan:Mie,Shima",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-12-15,2025-07-24
LC881640,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HS99548/2022,11826,partial,"Japan:Hiroshima,Akiota",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-10-13,2025-07-24
LC881641,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HS99572/2022,11826,partial,"Japan:Hiroshima,Hiroshima",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2022-11-24,2025-07-24
LC881642,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HS126618/2023,11826,partial,"Japan:Hiroshima,Akiota",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-01-12,2025-07-24
LC881643,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HS127384/2023,11826,partial,"Japan:Hiroshima,Hatsukaichi",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-02-10,2025-07-24
LC881644,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_HS130021/2023,11826,partial,"Japan:Hiroshima,Kitahiroshima",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-03-16,2025-07-24
LC881645,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KA131190/2023,11826,partial,"Japan:Kagawa,Sakaide",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-04-25,2025-07-24
LC881646,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KA131796/2023,11826,partial,"Japan:Kagawa,Takamatsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-05-01,2025-07-24
LC881647,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_KA136710/2023,11826,partial,"Japan:Kagawa,Takamatsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2023-07-18,2025-07-24
LC881648,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SG167277/2024,11826,partial,"Japan:Saga,Karatsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-05-30,2025-07-24
LC881649,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/JPN/WB_SG167278/2024,11826,partial,"Japan:Saga,Karatsu",NA,Sus scrofa,NA,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2024-06-03,2025-07-24
