Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date,Molecule_type
LC881265,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN242/2020,11826,partial,"Japan:Yamanashi,Otsuki",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-09-14,2025-07-24,ssRNA(+)
LC881266,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN295/2020,11826,partial,"Japan:Yamanashi,Nirasaki",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-11-10,2025-07-24,ssRNA(+)
LC881267,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN347/2021,11826,partial,"Japan:Yamanashi,Chuo",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-03,2025-07-24,ssRNA(+)
LC881268,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN351/2021,11826,partial,"Japan:Yamanashi,Ichikawamisato",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-12,2025-07-24,ssRNA(+)
LC881269,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN359/2021,11826,partial,"Japan:Yamanashi,Fujiyoshida",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-09,2025-07-24,ssRNA(+)
LC881270,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN363/2021,11826,partial,"Japan:Yamanashi,Yamanakako",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-07,2025-07-24,ssRNA(+)
LC881271,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA736/2020,11826,partial,"Japan:Nagano,Yasuoka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-24,2025-07-24,ssRNA(+)
LC881272,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA1091/2021,11826,partial,"Japan:Nagano,Toyooka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-02,2025-07-24,ssRNA(+)
LC881273,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SZ3241/2020,11826,partial,"Japan:Shizuoka,Makinohara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-26,2025-07-24,ssRNA(+)
LC881274,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SZ3489/2021,11826,partial,"Japan:Shizuoka,Fujinomiya",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-01-30,2025-07-24,ssRNA(+)
LC881275,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SZ3820/2021,11826,partial,"Japan:Shizuoka,Fuji",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-21,2025-07-24,ssRNA(+)
LC881276,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YG213/2021,11826,partial,"Japan:Yamagata,Tsuruoka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-26,2025-07-24,ssRNA(+)
LC881277,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FS230/2021,11826,partial,"Japan:Fukushima,Inawashiro",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-26,2025-07-24,ssRNA(+)
LC881278,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IB1121/2021,11826,partial,"Japan:Ibaraki,Daigo",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-27,2025-07-24,ssRNA(+)
LC881279,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IB1243/2021,11826,partial,"Japan:Ibaraki,Ishioka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-09,2025-07-24,ssRNA(+)
LC881280,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IB1286/2021,11826,partial,"Japan:Ibaraki,Ishioka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-24,2025-07-24,ssRNA(+)
LC881281,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_TC729/2021,11826,partial,"Japan:Tochigi,Nasushiobara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-12,2025-07-24,ssRNA(+)
LC881282,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NI400/2021,11826,partial,"Japan:Niigata,Agano",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-19,2025-07-24,ssRNA(+)
LC881283,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NI402/2021,11826,partial,"Japan:Niigata,Agano",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-14,2025-07-24,ssRNA(+)
LC881284,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA1073/2020,11826,partial,"Japan:Nagano,Shimosuwa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-25,2025-07-24,ssRNA(+)
LC881285,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SZ4484/2021,11826,partial,"Japan:Shizuoka,Fuji",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-04,2025-07-24,ssRNA(+)
LC881286,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_OS40/2021,11826,partial,"Japan:Osaka,Kumatori",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-27,2025-07-24,ssRNA(+)
LC881287,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_OS42/2021,11826,partial,"Japan:Osaka,Kaizuka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-08,2025-07-24,ssRNA(+)
LC881288,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_HG163/2021,11826,partial,"Japan:Hyogo,Tambasasayama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-31,2025-07-24,ssRNA(+)
LC881289,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_HG116/2021,11826,partial,"Japan:Hyogo,Kawanishi",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-26,2025-07-24,ssRNA(+)
LC881290,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_HG154/2021,11826,partial,"Japan:Hyogo,Takarazuka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-19,2025-07-24,ssRNA(+)
LC881291,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_HG196/2021,11826,partial,"Japan:Hyogo,Inagawa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-17,2025-07-24,ssRNA(+)
LC881292,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI5919/2021,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-18,2025-07-24,ssRNA(+)
LC881293,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GU2543/2021,11826,partial,"Japan:Gunma,Shibukawa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-11-23,2025-07-24,ssRNA(+)
LC881294,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SI42/2020,11826,partial,"Japan:Shiga,Otsu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-30,2025-07-24,ssRNA(+)
LC881295,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GI413/2018,11826,partial,"Japan:Gifu,Kakamigahara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2018-12-11,2025-07-24,ssRNA(+)
LC881296,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FI1316/2021,11826,partial,"Japan:Fukui,Takahama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-26,2025-07-24,ssRNA(+)
LC881297,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_TY113/2020,11826,partial,"Japan:Tokyo,Hachioji",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-10-12,2025-07-24,ssRNA(+)
LC881298,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YG214/2021,11826,partial,"Japan:Yamagata,Takahata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-02,2025-07-24,ssRNA(+)
LC881299,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_HG172/2021,11826,partial,"Japan:Hyogo,Tambasasayama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-16,2025-07-24,ssRNA(+)
LC881300,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YG203/2021,11826,partial,"Japan:Yamagata,Tsuruoka",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-04,2025-07-24,ssRNA(+)
LC881301,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FS234/2021,11826,partial,"Japan:Fukushima,Kitakata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-10,2025-07-24,ssRNA(+)
LC881302,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IB1487/2021,11826,partial,"Japan:Ibaraki,Kasumigaura",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-08-16,2025-07-24,ssRNA(+)
LC881303,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GU2169/2021,11826,partial,"Japan:Gunma,Kiryu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-09,2025-07-24,ssRNA(+)
LC881304,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_WA415/2021,11826,partial,"Japan:Wakayama,Hidakagawa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-22,2025-07-24,ssRNA(+)
LC881305,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FS40/2020,11826,partial,"Japan:Fukushima,Aizuwakamatsu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-09-16,2025-07-24,ssRNA(+)
LC881306,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FS196/2021,11826,partial,"Japan:Fukushima,Shirakawa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-26,2025-07-24,ssRNA(+)
LC881307,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_GU2226/2021,11826,partial,"Japan:Gunma,Naganohara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-07,2025-07-24,ssRNA(+)
LC881308,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_ST896/2020,11826,partial,"Japan:Saitama,Higashimatsuyama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-11,2025-07-24,ssRNA(+)
LC881309,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_ST1131/2020,11826,partial,"Japan:Saitama,Ranzan",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-01,2025-07-24,ssRNA(+)
LC881310,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_ST1157/2020,11826,partial,"Japan:Saitama,Ranzan",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-12-18,2025-07-24,ssRNA(+)
LC881311,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_KN890/2021,11826,partial,"Japan:Kanagawa,Isehara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-09,2025-07-24,ssRNA(+)
LC881312,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_KN926/2021,11826,partial,"Japan:Kanagawa,Isehara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-23,2025-07-24,ssRNA(+)
LC881313,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_KN1011/2021,11826,partial,"Japan:Kanagawa,Isehara",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-24,2025-07-24,ssRNA(+)
LC881314,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_TM259/2020,11826,partial,"Japan:Toyama,Uozu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-08,2025-07-24,ssRNA(+)
LC881315,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_TM273/2020,11826,partial,"Japan:Toyama,Uozu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-20,2025-07-24,ssRNA(+)
LC881316,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS258/2020,11826,partial,"Japan:Ishikawa,Tsubata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-30,2025-07-24,ssRNA(+)
LC881317,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS262/2020,11826,partial,"Japan:Ishikawa,Tsubata",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-21,2025-07-24,ssRNA(+)
LC881318,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS276/2020,11826,partial,"Japan:Ishikawa,Kahoku",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-05-22,2025-07-24,ssRNA(+)
LC881319,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS622/2021,11826,partial,"Japan:Ishikawa,Nanao",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-03,2025-07-24,ssRNA(+)
LC881320,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS624/2021,11826,partial,"Japan:Ishikawa,Anamizu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-02-12,2025-07-24,ssRNA(+)
LC881321,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_IS637/2021,11826,partial,"Japan:Ishikawa,Wajima",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-03-12,2025-07-24,ssRNA(+)
LC881322,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FI1357/2021,11826,partial,"Japan:Fukui,Takahama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-02,2025-07-24,ssRNA(+)
LC881323,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_FI1416/2021,11826,partial,"Japan:Fukui,Echizen",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-07-03,2025-07-24,ssRNA(+)
LC881324,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN181/2020,11826,partial,"Japan:Yamanashi,Kofu",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-07-05,2025-07-24,ssRNA(+)
LC881325,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN298/2020,11826,partial,"Japan:Yamanashi,Kosuge",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-11-09,2025-07-24,ssRNA(+)
LC881326,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_YN364/2021,11826,partial,"Japan:Yamanashi,Hokuto",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-06-10,2025-07-24,ssRNA(+)
LC881327,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA665/2020,11826,partial,"Japan:Nagano,Ueda",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-08,2025-07-24,ssRNA(+)
LC881328,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA695/2020,11826,partial,"Japan:Nagano,Sakuho",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-23,2025-07-24,ssRNA(+)
LC881329,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_ME4050/2021,11826,partial,"Japan:Mie,Kihoku",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-04-22,2025-07-24,ssRNA(+)
LC881330,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_ME4365/2021,11826,partial,"Japan:Mie,Watarai",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-05-21,2025-07-24,ssRNA(+)
LC881331,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SI614/2020,11826,partial,"Japan:Shiga,Nagahama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-08,2025-07-24,ssRNA(+)
LC881332,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SI646/2020,11826,partial,"Japan:Shiga,Nagahama",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-03-12,2025-07-24,ssRNA(+)
LC881333,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_SI819/2020,11826,partial,"Japan:Shiga,Ryuoh",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-06-12,2025-07-24,ssRNA(+)
LC881334,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA704/2020,11826,partial,"Japan:Nagano,Sakuho",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-01,2025-07-24,ssRNA(+)
LC881335,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA706/2020,11826,partial,"Japan:Nagano,Ogawa",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-04-02,2025-07-24,ssRNA(+)
LC881336,GenBank,,Classical swine fever virus,Pestivirus suis,,CSFV/JPN/WB_NA760/2020,11826,partial,"Japan:Nagano,Matsumoto",,Sus scrofa,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2020-05-18,2025-07-24,ssRNA(+)
